# Letfly (Up to date),
# 802 data points written for 2 variables.,
# Simulation warnings:,
#   Body calculations may not be entirely accurate at supersonic speeds.,
#,
# Drag coefficient (​),Mach number (​)
# Event IGNITION occurred at t=0 seconds,
# Event LAUNCH occurred at t=0 seconds,
0.509,0.006
0.507,0.006
0.479,0.009
# Event LIFTOFF occurred at t=0.031 seconds,
0.447,0.014
0.426,0.019
0.414,0.023
0.402,0.029
0.394,0.034
0.393,0.039
0.393,0.043
0.393,0.047
0.393,0.051
0.393,0.054
0.393,0.058
# Event LAUNCHROD occurred at t=0.116 seconds,
0.393,0.061
0.393,0.065
0.393,0.071
0.393,0.081
0.393,0.096
0.394,0.118
0.395,0.147
0.396,0.176
0.397,0.206
0.398,0.21
0.398,0.217
0.399,0.226
0.399,0.24
0.401,0.261
0.403,0.292
0.406,0.323
0.409,0.355
0.412,0.387
0.415,0.417
0.419,0.45
0.423,0.483
0.428,0.516
0.432,0.542
0.434,0.552
0.436,0.569
0.441,0.594
0.447,0.628
0.452,0.655
0.457,0.679
0.465,0.713
0.474,0.748
0.477,0.758
0.481,0.774
0.489,0.798
0.5,0.832
0.512,0.86
0.528,0.893
0.533,0.925
0.534,0.957
0.535,0.99
0.536,0.999
0.55,1.013
0.568,1.034
0.58,1.064
0.578,1.094
# Event SIM_WARN occurred at t=1.752 seconds: Body calculations may not be entirely accurate at supersonic speeds.,
0.568,1.123
0.551,1.152
0.53,1.181
0.508,1.209
0.487,1.238
0.47,1.266
0.458,1.294
0.452,1.321
0.448,1.344
0.442,1.37
0.437,1.397
0.432,1.423
0.428,1.448
0.423,1.473
0.419,1.498
0.415,1.522
0.411,1.547
0.407,1.572
0.403,1.592
0.399,1.617
0.397,1.629
0.395,1.643
0.394,1.648
0.395,1.642
0.395,1.641
0.396,1.64
0.396,1.637
0.397,1.633
0.397,1.629
0.399,1.621
# Event BURNOUT occurred at t=2.99 seconds,
# Event EJECTION_CHARGE occurred at t=2.99 seconds,
0.4,1.611
0.403,1.596
0.405,1.581
0.407,1.566
0.41,1.551
0.412,1.537
0.415,1.523
0.417,1.508
0.42,1.495
0.422,1.481
0.424,1.467
0.427,1.454
0.429,1.442
0.431,1.429
0.434,1.416
0.436,1.403
0.438,1.391
0.441,1.378
0.443,1.366
0.446,1.354
0.448,1.342
0.45,1.33
0.453,1.319
0.455,1.307
0.458,1.296
0.461,1.285
0.466,1.274
0.471,1.263
0.478,1.252
0.485,1.241
0.492,1.23
0.5,1.219
0.509,1.209
0.517,1.198
0.525,1.187
0.533,1.177
0.541,1.166
0.549,1.155
0.556,1.145
0.562,1.134
0.567,1.124
0.572,1.114
0.575,1.104
0.578,1.094
0.58,1.084
0.58,1.074
0.58,1.064
0.578,1.055
0.574,1.046
0.57,1.037
0.564,1.028
0.558,1.02
0.548,1.011
0.539,1.003
0.536,0.995
0.535,0.988
0.535,0.98
0.535,0.972
0.534,0.965
0.534,0.958
0.534,0.95
0.533,0.943
0.533,0.936
0.533,0.929
0.533,0.922
0.532,0.916
0.532,0.909
0.532,0.902
0.53,0.896
0.526,0.89
0.523,0.883
0.52,0.877
0.517,0.871
0.514,0.865
0.511,0.859
0.509,0.853
0.506,0.848
0.504,0.842
0.502,0.837
0.5,0.831
0.498,0.826
0.496,0.82
0.494,0.815
0.493,0.81
0.491,0.805
0.489,0.8
0.488,0.795
0.486,0.79
0.485,0.785
0.483,0.78
0.482,0.775
0.48,0.771
0.479,0.766
0.478,0.762
0.477,0.757
0.475,0.752
0.474,0.748
0.473,0.744
0.472,0.739
0.471,0.735
0.47,0.731
0.469,0.726
0.467,0.722
0.466,0.718
0.465,0.714
0.465,0.71
0.464,0.706
0.463,0.702
0.462,0.698
0.461,0.694
0.46,0.69
0.459,0.686
0.458,0.682
0.457,0.679
0.457,0.675
0.456,0.671
0.455,0.668
0.454,0.664
0.453,0.66
0.453,0.657
0.452,0.653
0.451,0.649
0.451,0.646
0.45,0.642
0.449,0.639
0.448,0.636
0.448,0.632
0.447,0.629
0.447,0.625
0.446,0.622
0.445,0.619
0.445,0.616
0.444,0.612
0.443,0.609
0.443,0.606
0.442,0.603
0.442,0.599
0.441,0.596
0.441,0.593
0.44,0.59
0.439,0.587
0.439,0.584
0.438,0.581
0.438,0.578
0.437,0.575
0.437,0.572
0.436,0.569
0.436,0.566
0.435,0.563
0.435,0.56
0.434,0.557
0.434,0.554
0.434,0.551
0.433,0.549
0.433,0.546
0.432,0.543
0.432,0.54
0.431,0.537
0.431,0.535
0.43,0.532
0.43,0.529
0.43,0.526
0.429,0.524
0.429,0.521
0.428,0.518
0.428,0.516
0.428,0.513
0.427,0.51
0.427,0.508
0.427,0.505
0.426,0.503
0.426,0.5
0.425,0.497
0.425,0.495
0.425,0.492
0.424,0.49
0.424,0.487
0.424,0.485
0.423,0.482
0.423,0.48
0.423,0.477
0.422,0.475
0.422,0.473
0.422,0.47
0.421,0.468
0.421,0.465
0.421,0.463
0.42,0.46
0.42,0.458
0.42,0.456
0.42,0.453
0.419,0.451
0.419,0.449
0.419,0.446
0.418,0.444
0.418,0.442
0.418,0.439
0.418,0.437
0.417,0.435
0.417,0.433
0.417,0.43
0.416,0.428
0.416,0.426
0.416,0.424
0.416,0.421
0.415,0.419
0.415,0.417
0.415,0.415
0.415,0.413
0.414,0.41
0.414,0.408
0.414,0.406
0.414,0.404
0.413,0.402
0.413,0.4
0.413,0.397
0.413,0.395
0.413,0.393
0.412,0.391
0.412,0.389
0.412,0.387
0.412,0.385
0.411,0.383
0.411,0.381
0.411,0.378
0.411,0.376
0.411,0.374
0.41,0.372
0.41,0.37
0.41,0.368
0.41,0.366
0.41,0.364
0.409,0.362
0.409,0.36
0.409,0.358
0.409,0.356
0.409,0.354
0.408,0.352
0.408,0.35
0.408,0.348
0.408,0.346
0.408,0.344
0.407,0.342
0.407,0.34
0.407,0.338
0.407,0.336
0.407,0.334
0.407,0.333
0.406,0.331
0.406,0.329
0.406,0.327
0.406,0.325
0.406,0.323
0.406,0.321
0.405,0.319
0.405,0.317
0.405,0.315
0.405,0.314
0.405,0.312
0.405,0.31
0.404,0.308
0.404,0.306
0.404,0.304
0.404,0.302
0.404,0.3
0.404,0.299
0.404,0.297
0.403,0.295
0.403,0.293
0.403,0.291
0.403,0.289
0.403,0.288
0.403,0.286
0.403,0.284
0.402,0.282
0.402,0.28
0.402,0.279
0.402,0.277
0.402,0.275
0.402,0.273
0.402,0.271
0.401,0.27
0.401,0.268
0.401,0.266
0.401,0.264
0.401,0.263
0.401,0.261
0.401,0.259
0.401,0.257
0.401,0.256
0.4,0.254
0.4,0.252
0.4,0.25
0.4,0.249
0.4,0.247
0.4,0.245
0.4,0.243
0.4,0.242
0.4,0.24
0.399,0.238
0.399,0.237
0.399,0.235
0.399,0.233
0.399,0.232
0.399,0.23
0.399,0.228
0.399,0.227
0.399,0.225
0.398,0.223
0.398,0.221
0.398,0.22
0.398,0.218
0.398,0.216
0.398,0.215
0.398,0.213
0.398,0.211
0.398,0.21
0.398,0.208
0.398,0.206
0.397,0.205
0.397,0.203
0.397,0.201
0.397,0.2
0.397,0.198
0.397,0.196
0.397,0.195
0.397,0.193
0.397,0.191
0.397,0.19
0.397,0.188
0.397,0.186
0.396,0.185
0.396,0.183
0.396,0.182
0.396,0.18
0.396,0.178
0.396,0.177
0.396,0.175
0.396,0.174
0.396,0.172
0.396,0.17
0.396,0.169
0.396,0.167
0.396,0.166
0.396,0.164
0.395,0.162
0.395,0.161
0.395,0.159
0.395,0.158
0.395,0.156
0.395,0.154
0.395,0.153
0.395,0.151
0.395,0.15
0.395,0.148
0.395,0.146
0.395,0.145
0.395,0.143
0.395,0.142
0.395,0.14
0.395,0.139
0.395,0.137
0.394,0.135
0.394,0.134
0.394,0.132
0.394,0.131
0.394,0.129
0.394,0.128
0.394,0.126
0.394,0.124
0.394,0.123
0.394,0.121
0.394,0.12
0.394,0.118
0.394,0.117
0.394,0.115
0.394,0.114
0.394,0.112
0.394,0.111
0.394,0.109
0.394,0.107
0.394,0.106
0.394,0.105
0.394,0.103
0.394,0.101
0.393,0.1
0.393,0.098
0.393,0.097
0.393,0.095
0.393,0.094
0.393,0.092
0.393,0.091
0.393,0.089
0.393,0.088
0.393,0.086
0.393,0.085
0.393,0.083
0.393,0.082
0.393,0.08
0.393,0.079
0.393,0.077
0.393,0.076
0.393,0.074
0.393,0.073
0.393,0.071
0.393,0.07
0.393,0.068
0.393,0.067
0.393,0.065
0.393,0.064
0.393,0.063
0.393,0.061
0.393,0.06
0.393,0.058
0.393,0.057
0.393,0.055
0.393,0.054
0.394,0.053
0.395,0.051
0.396,0.05
0.398,0.048
0.399,0.047
0.401,0.045
0.403,0.044
0.404,0.043
0.406,0.041
0.408,0.04
0.41,0.039
0.411,0.037
0.413,0.036
0.415,0.035
0.417,0.034
0.419,0.032
0.421,0.031
0.424,0.03
0.426,0.029
0.429,0.028
0.431,0.026
0.434,0.025
0.438,0.024
0.441,0.023
0.444,0.022
0.446,0.021
0.448,0.02
0.45,0.02
0.452,0.019
0.455,0.018
0.457,0.018
0.458,0.018
0.458,0.017
# Event APOGEE occurred at t=25.485 seconds,
0.458,0.017
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=25.486 seconds,
8.889,0.017
8.889,0.018
8.889,0.019
8.889,0.02
8.889,0.022
8.889,0.025
8.889,0.027
8.889,0.03
8.889,0.032
8.889,0.035
8.889,0.038
8.889,0.041
8.889,0.043
8.889,0.046
8.889,0.049
8.889,0.052
8.889,0.055
8.889,0.058
8.889,0.061
8.889,0.063
8.889,0.066
8.889,0.069
8.889,0.072
8.889,0.075
8.889,0.078
8.889,0.081
8.889,0.084
8.889,0.087
8.889,0.09
8.889,0.093
8.889,0.096
8.889,0.099
8.889,0.102
8.889,0.105
8.889,0.108
8.889,0.111
8.889,0.114
8.889,0.117
8.889,0.119
8.889,0.122
8.889,0.125
8.889,0.127
8.889,0.128
8.889,0.129
8.889,0.13
8.889,0.13
8.889,0.131
8.889,0.131
8.889,0.131
8.889,0.131
8.889,0.132
8.889,0.132
8.889,0.131
8.889,0.131
8.889,0.131
8.889,0.131
8.889,0.131
8.889,0.131
8.889,0.131
8.889,0.131
8.889,0.13
8.889,0.13
8.889,0.13
8.889,0.13
8.889,0.13
8.889,0.13
8.889,0.129
8.889,0.129
8.889,0.129
8.889,0.129
8.889,0.129
8.889,0.128
8.889,0.128
8.889,0.128
8.889,0.128
8.889,0.128
8.889,0.128
8.889,0.127
8.889,0.127
8.889,0.127
8.889,0.127
8.889,0.127
8.889,0.127
8.889,0.126
8.889,0.126
8.889,0.126
8.889,0.126
8.889,0.126
8.889,0.126
8.889,0.125
8.889,0.125
8.889,0.125
8.889,0.125
8.889,0.125
8.889,0.125
8.889,0.124
8.889,0.124
8.889,0.124
8.889,0.124
8.889,0.124
8.889,0.124
8.889,0.123
8.889,0.123
8.889,0.123
8.889,0.123
8.889,0.123
8.889,0.123
8.889,0.123
8.889,0.122
8.889,0.122
8.889,0.122
8.889,0.122
8.889,0.122
8.889,0.122
8.889,0.121
8.889,0.121
8.889,0.121
8.889,0.121
8.889,0.121
8.889,0.121
8.889,0.121
8.889,0.12
8.889,0.12
8.889,0.12
8.889,0.12
8.889,0.12
8.889,0.12
8.889,0.119
8.889,0.119
8.889,0.119
8.889,0.119
8.889,0.119
8.889,0.119
8.889,0.119
8.889,0.118
8.889,0.118
8.889,0.118
8.889,0.118
8.889,0.118
8.889,0.118
8.889,0.118
8.889,0.117
8.889,0.117
8.889,0.117
8.889,0.117
8.889,0.117
8.889,0.117
8.889,0.117
8.889,0.116
8.889,0.116
8.889,0.116
8.889,0.116
8.889,0.116
8.889,0.116
8.889,0.116
8.889,0.115
8.889,0.115
8.889,0.115
8.889,0.115
8.889,0.115
8.889,0.115
8.889,0.115
8.889,0.114
8.889,0.114
8.889,0.114
8.889,0.114
8.889,0.114
8.889,0.114
8.889,0.114
8.889,0.114
8.889,0.113
8.889,0.113
8.889,0.113
8.889,0.113
8.889,0.113
8.889,0.113
8.889,0.113
8.889,0.112
8.889,0.112
8.889,0.112
8.889,0.112
8.889,0.112
8.889,0.112
8.889,0.112
8.889,0.112
8.889,0.111
8.889,0.111
8.889,0.111
8.889,0.111
8.889,0.111
8.889,0.111
8.889,0.111
8.889,0.111
8.889,0.11
8.889,0.11
8.889,0.11
8.889,0.11
8.889,0.11
8.889,0.11
8.889,0.11
8.889,0.11
8.889,0.109
8.889,0.109
8.889,0.109
8.889,0.109
8.889,0.109
8.889,0.109
8.889,0.109
8.889,0.109
8.889,0.108
8.889,0.108
8.889,0.108
8.889,0.108
8.889,0.108
8.889,0.108
8.889,0.108
8.889,0.108
8.889,0.108
8.889,0.107
8.889,0.107
8.889,0.107
8.889,0.107
8.889,0.107
8.889,0.107
8.889,0.107
8.889,0.107
8.889,0.106
8.889,0.106
8.889,0.106
8.889,0.106
8.889,0.106
8.889,0.106
8.889,0.106
8.889,0.106
8.889,0.106
8.889,0.105
8.889,0.105
8.889,0.105
8.889,0.105
8.889,0.105
8.889,0.105
8.889,0.105
8.889,0.105
8.889,0.105
8.889,0.104
8.889,0.104
8.889,0.104
8.889,0.104
8.889,0.104
8.889,0.104
8.889,0.104
8.889,0.104
8.889,0.104
8.889,0.103
8.889,0.103
8.889,0.103
8.889,0.103
8.889,0.103
8.889,0.103
8.889,0.103
8.889,0.103
# Event GROUND_HIT occurred at t=142.719 seconds,
# Event SIMULATION_END occurred at t=142.719 seconds,
8.889,0.103
